"","sig1","sig2","pval","padj","sign"
"1","S1","S2",0.00131069363385777,0.0115967553462846,"*"
"2","S1","S3",0.00547249960807217,0.0351803546233211,"*"
"3","S1","S4",0.00322302833803217,0.0223132731094535,"*"
"4","S1","S5",0.000940878619801515,0.00962262224797004,"*"
"5","S1","S6",0.00099510179656197,0.00973469148810622,"*"
"6","S1","S7",3.5672826935783e-10,5.35092404036745e-09,"*"
"7","S1","S8",0.000637688739719545,0.00775567386145393,"*"
"8","S1","S9",0.000637688739719545,0.00775567386145393,"*"
"9","S1","S10",0.000637688739719545,0.00775567386145393,"*"
"10","S1","S11",0.0184815199250118,0.0866321246484929,""
"11","S1","S12",0.000824617893748494,0.00883519171873386,"*"
"12","S1","S13",0.00206550689487661,0.0154913017115746,"*"
"13","S1","S14",0.000637688739719545,0.00775567386145393,"*"
"14","S1","S15",0.0215908723226749,0.0961969558931061,""
"15","S1","S16",0.000637688739719545,0.00775567386145393,"*"
"16","S1","S17",0.00116159137096761,0.0111216195092644,"*"
"17","S1","S18",0.000884610534925442,0.00925755210968486,"*"
"18","S1","S19",0.0244425336732925,0.10678776847555,""
"19","S1","S20",0.00295304130050168,0.0210931521464406,"*"
"20","S1","S21",0.0067293571528875,0.0426508551943574,"*"
"21","S1","S22",0.000744195388973663,0.00824618916892276,"*"
"22","S1","S23",0.0303577138086451,0.127672628167199,""
"23","S1","S24",0.000964127969662031,0.00964127969662031,"*"
"24","S1","S25",0.00068994610768788,0.00796091662716784,"*"
"25","S1","S26",0.000637688739719545,0.00775567386145393,"*"
"26","S1","S27",0.000751319457612963,0.00824618916892276,"*"
"27","S1","S28",0.00152389382071468,0.0120307406898527,"*"
"28","S1","S29",0.000681659420015172,0.00796091662716784,"*"
"29","S1","S30",0.00129172281629138,0.0115967553462846,"*"
"30","S1","unknown",0.000637688739719545,0.00775567386145393,"*"
"31","S2","S3",0.126140682907234,0.291093883632078,""
"32","S2","S4",0.434295181225952,0.531838419950204,""
"33","S2","S5",0.4973694822507,0.588990176349513,""
"34","S2","S6",0.542683614786326,0.630416242147068,""
"35","S2","S7",3.4229819151484e-11,6.42326235600177e-10,"*"
"36","S2","S8",0.0596451189560783,0.220002487952748,""
"37","S2","S9",0.0596451189560783,0.220002487952748,""
"38","S2","S10",0.0596451189560783,0.220002487952748,""
"39","S2","S11",0.0127420359999721,0.0682609071427078,""
